,Title of Work,Type,Status,SiteAddress,URL,PhotoURL,Neighbourhood,DescriptionOfwork,YearOfInstallation,geo_point_2d
190,Eyes on the Street,Sculpture,In place,1661 Quebec Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=779,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/28ee293616d61143e74fe55813c1f2f6,Mount Pleasant,Two sculptures made of mirrored stainless steel. The largest component of the sculpture is 18 feet high and the smaller one is 12 feet high.,2018,"49.270886, -123.103057"
191,Building A - Livestock Building,Mural,No longer in place,700 Hamilton Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=780,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/edbe472e1e030c488b4d7f75a07c3c56,Downtown,"THE WALL is a Vancouver Heritage Foundation public art initiative. It is made possible by a partnership between Vancouver Heritage Foundation and CBC Radio-Canada, and is produced in partnership with the City of Vancouver Public Art Program. THE WALL features a new artist every year.",2018,"49.279663, -123.114234"
192,Vancity Skyline,Mural,No longer in place,,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=781,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/e0b59c6a397ddbdf4985a14a474af87a,Downtown,"The artwork is part of a series of Indigenous artwork, commissioned through the City’s Indigenous Artist Call 2018.",2018,"49.279993, -123.113948"
193,Sinulhka: Story of the Double Headed Serpent,Mural,In place,2097 West Broadway,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=782,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/961cedcce69abee550a1fd34d35adf59,Kitsilano,"The artwork is part of a series of Indigenous artwork, commissioned through the City’s Indigenous Artist Call 2018.",2018,"49.26412, -123.152699"
194,????? ?????/OCCUPYING CHINATOWN,Socially engaged art,No longer in place,578 Carrall Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=786,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/dba5a23c7da7294c5bdda77f18c369ad,DowntownEastside,Wong&#39;s year-long residency &ldquo;身在唐人街/Occupying Chinatown&rdquo; at Dr. Sun Yat-Sen Classical Chinese Garden was one of five projects commissioned as part of the Public Art Program&#39;s 2017 Artist-Initiated Public Call.,2018,"49.279756, -123.103282"
195,Vietnamese Boat People Memorial,Memorial or monument,In place,,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=791,,Strathcona,"This memorial commemorates the Vietnamese boat people who sought freedom, democracy and safety in Canada.",2018,"49.257072, -123.089991"
196,Blanketing The City: A Mural Series,Mural,In place,,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=793,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/e4c17ec2f4ee2cb369a0d00eb3c632f3,Fairview,,2018,"49.270469, -123.135911"
197,A New Light In Town,Sculpture,In place,281 Industrial Avenue,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=794,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/ce5d5549feac3c9d74a3b377fb7f75d9,Strathcona,"This artwork was produced for Every Letter in the Alphabet, a year-long project by Geoffrey Farmer.",2010,"49.27062, -123.099713"
198,QA CHEW'S BUBBLE TROUBLE,Socially engaged art,No longer in place,1300 E Broadway,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=796,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/d4804b33e6b54ecedef3a98473e1fa8a,Kensington-Cedar Cottage,QA CHEW&#39;S BUBBLE TROUBLE was one of five projects commissioned as part of the Public Art Program&#39;s 2017 Artist-Initiated Public Call.,2018,"49.261897, -123.076442"
200,Set Pieces,Site-integrated work,In place,1283 Howe Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=804,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/e2fadd935d74c683e780d8e1ae332426,Downtown,Kinetic installation of translucent curtains and motors with interactive elements.,2019,"49.277062, -123.128942"
201,Tabay Nghuni Nzoo,Two-dimensional artwork,No longer in place,,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=807,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/6ec9aef46775255cbfcd10df5dc9e6b5,Downtown,"This artwork is part of a series of Indigenous artwork, commissioned through the City’s Indigenous Artist Call 2019.  In February 2019, the City invited proposals for temporary painted murals and digital printed artwork within Vancouver’s public realm, located on the unceded ancestral homelands of the Musqueam, Squamish and TsleilWaututh peoples. In April 2019, proposals were shortlisted by a panel of urban and local Indigenous art experts, with six projects then recommended for commission.",2019,"49.279993, -123.113948"
202,Everyday Things (????),Mural,In place,578 Carrall Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=810,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/fed06751718b433a1b5fdf79244856cc,DowntownEastside,"This artwork is part of a series of murals in Chinatown, commissioned through the City's Chinatown Mural Artist Call 2019. In February 2019, the City invited proposals for temporary painted murals and digital printed artwork within Chinatown's public realm. In April 2019, proposals were shortlisted by a panel of art experts from Chinatown who have cultural knowledge of the neighbourhood's heritage, with four projects then recommended for commission.",2019,"49.279756, -123.103282"
203,The Seven Fires Prophecies,Two-dimensional artwork,No longer in place,350 West Georgia Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=815,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/0c2a233ac75463a591e775fb32cb0895,Downtown,"This artwork is part of a series of Indigenous artwork, commissioned through the City’s Indigenous Artist Call 2019.  In February 2019, the City invited proposals for temporary painted murals and digital printed artwork within Vancouver’s public realm, located on the unceded ancestral homelands of the Musqueam, Squamish and TsleilWaututh peoples. In April 2019, proposals were shortlisted by a panel of urban and local Indigenous art experts, with six projects then recommended for commission.",2019,"49.279698, -123.115556"
204,Connecting Two Worlds Together,Two-dimensional artwork,In place,,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=824,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/7757a3912783fd3ff5794d8e4693242a,Marpole,"This two-dimensional crosswalk design commission celebrates the vibrancy of Musqueam artistic traditions and the community today by providing further recognition of Musqueam history and territory.The highly visible location is in proximity to c̓əsnaʔəm, Musqueam’s ancient village and cemetery, as well as the Fraser River.",2019,"49.209824, -123.1405"
205,Erwin Wurm,Sculpture,No longer in place,1128 West Georgia Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=825,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/606d7fbce6fee5aacda36d00722505a0,West End,"Erwin Wurm is the 19th installation in the Offsite series and was on view from September 20, 2019 to March 22, 2020. Offsite is an outdoor public art space in the heart of the city. Presenting an innovative program of temporary projects, it is a site for local and international contemporary artists to exhibit works related to the surrounding urban context. Featured artists consider the site-specific potential of art within the public realm and respond to the changing social and cultural conditions of our contemporary world. New projects are installed in the spring and fall of each year.Offsite is organized by the Vancouver Art Gallery and funded by the City of Vancouver through the Public Art Program.",2019,"49.285762, -123.123947"
206,18 Pairs of Blue and White Running Shoes,Sculpture,In place,5033 Cambie Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=827,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/947fbb7ba303a80d228176984444bb67,Oakridge,"Bronze sculptures, 18 pairs of running shoes.",2020,"49.239464, -123.117951"
207,900 Oranges,Sculpture,In place,5077 Cambie Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=828,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/a5e9db6892f3e5e038d2769eafe13ab4,Oakridge,A pyramid of oranges on a custom plinth.,2020,"49.239464, -123.117951"
208,Terror Fervor,Media work,No longer in place,,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=829,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/63b7f901244d4ecb9b6401f655297d6d,Downtown,"Platforms 2020: Public Works is a monthly series of temporary public art projects that presented from June 2020 until the end of December 2020.These artworks were selected through an open call inviting Vancouver-based artists to share projects that they have been working on that respond to the circumstances of living during a pandemic and critical time of change.The public art program was launched on transit shelters, billboards, and video screens throughout the city.",2020,"49.281384, -123.119"
210,Tree Houses,Media work,No longer in place,,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=838,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/3f5d4efc55fde7f4946d86bb253a329b,Downtown,"Platforms 2020: Public Works is a monthly series of temporary public art projects that presented from June 2020 until the end of December 2020.These artworks were selected through an open call inviting Vancouver-based artists to share projects that they have been working on that respond to the circumstances of living during a pandemic and critical time of change.The public art program was launched on transit shelters, billboards, and video screens throughout the city.",2020,"49.281384, -123.119"
211,New Friends,Two-dimensional artwork,No longer in place,370 East Broadway,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=840,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/0fb7d005795878e365f570845f667d0c,Mount Pleasant,"Platforms 2020: Public Works is a monthly series of temporary public art projects that presented from June 2020 until the end of December 2020.These artworks were selected through an open call inviting Vancouver-based artists to share projects that they have been working on that respond to the circumstances of living during a pandemic and critical time of change.The public art program was launched on transit shelters, billboards, and video screens throughout the city.",2020,"49.262386, -123.097582"
213,The Giant Hand And The Birth of Gianthropology,Two-dimensional artwork,No longer in place,700 Hamilton Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=847,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/f396dc57ea3b3baf9855a9a67d03008a,Downtown,"The WALL is a Vancouver Heritage Foundation public art initiative. It is made possible by a partnership between Vancouver Heritage Foundation and CBC Radio-Canada, and is produced in partnership with the City of Vancouver Public Art Program. The WALL features a new artist every year.",2020,"49.279663, -123.114234"
217,"Waiting On A Friend, from the series Isolation",Two-dimensional artwork,No longer in place,370 E Broadway,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=861,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/6de4f8c6b8ff0eb5175b3ed2be86edad,Mount Pleasant,"Platforms 2020: Public Works is a monthly series of temporary public art projects that presented from June 2020 until the end of December 2020.

These artworks were selected through an open call inviting Vancouver-based artists to share projects that they have been working on that respond to the circumstances of living during a pandemic and critical time of change.

The public art program was launched on transit shelters, billboards, and video screens throughout the city.",2020,"49.262386, -123.097582"
218,Gaslight,Site-integrated work,In place,555 Hamilton Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=863,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/49edd1448ed2431cea8b44149093e8be,Downtown,"A neon artwork mounted on the roofline of the Del Mar Inn.

Commissioned by Fillip with the support of the City of Vancouver Public Art Program.",2020,"49.281596, -123.112298"
222,Personnages,Site-integrated work,In place,889 Pacific Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=869,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/536b262d74e87e4d7fb518e81ede5fd9,Downtown,Personnages was commissioned by Grosvenor Americas as part of their participation in the City of Vancouver&#39;s Public Art Program for Private Development.,2021,"49.27632, -123.13079"
223,Westside Palimpsest,Two-dimensional artwork,No longer in place,,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=873,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/a34eaab1b3e11c760d5bf720b16be8b8,Kitsilano,"Platforms: We Are Here, Live is a series of temporary public art projects that presented from November 2021 until the end of October 2022.

Platforms: We Are Here, Live commissioned 23 Vancouver-based and xʷmə&theta;kʷəy̓əm (Musqueam), sḵwx̱w&uacute;7mesh (Squamish), and səlilwətaɬ (Tsleil-Waututh) artists engaged in and grappling with the issues revealed by the COVID-19 global pandemic.

Selected artworks were displayed on the following platforms:


\tBillboard at Arbutus St and West 12th Avenue
\tLight box at &scaron;xʷƛ̓ exən Xwtl&rsquo;a7shn Plaza 
\tBanners at Vancouver Public Library, Central Branch 
\tGlass wall at City Centre Canada Line Station 
\tTransit shelter posters throughout the city
\tVanLive! video screen, Robson St and Granville St
\tDigital display boards throughout the city",2021,"49.26117, -123.15252"
224,Cadenza,Site-integrated work,In place,565 Smithe Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=875,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/9bff29c28e0ccc5ace2b1d51b39f77a6,Downtown,,2009,"49.279677, -123.119869"
225,Summer 2020,Media work,No longer in place,,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=876,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/876caa69f1307047bb7817d5458c3760,Downtown,"Platforms: We Are Here, Live is a series of temporary public art projects that presented from November 2021 until the end of October 2022.

Platforms: We Are Here, Live commissioned 23 Vancouver-based and xʷmə&theta;kʷəy̓əm (Musqueam), sḵwx̱w&uacute;7mesh (Squamish), and səlilwətaɬ (Tsleil-Waututh) artists engaged in and grappling with the issues revealed by the COVID-19 global pandemic.

Selected artworks were displayed on the following platforms:


\tBillboard at Arbutus St and West 12th Avenue
\tLight box at &scaron;xʷƛ̓ exən Xwtl&rsquo;a7shn Plaza 
\tBanners at Vancouver Public Library, Central Branch 
\tGlass wall at City Centre Canada Line Station 
\tTransit shelter posters throughout the city
\tVanLive! video screen, Robson St and Granville St
\tDigital display boards throughout the city",2022,"49.281384, -123.119"
227,Upstream,Media work,No longer in place,,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=880,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/9da9caf7668667d8177a3ef8e4b96429,Downtown,"Platforms: We Are Here, Live is a series of temporary public art projects that presented from November 2021 until the end of October 2022.

Platforms: We Are Here, Live commissioned 23 Vancouver-based and xʷmə&theta;kʷəy̓əm (Musqueam), sḵwx̱w&uacute;7mesh (Squamish), and səlilwətaɬ (Tsleil-Waututh) artists engaged in and grappling with the issues revealed by the COVID-19 global pandemic.

Selected artworks were displayed on the following platforms:


\tBillboard at Arbutus St and West 12th Avenue
\tLight box at &scaron;xʷƛ̓ exən Xwtl&rsquo;a7shn Plaza 
\tBanners at Vancouver Public Library, Central Branch 
\tGlass wall at City Centre Canada Line Station 
\tTransit shelter posters throughout the city
\tVanLive! video screen, Robson St and Granville St
\tDigital display boards throughout the city",2022,"49.281384, -123.119"
229,Indigenous Matriarchs,Two-dimensional artwork,No longer in place,,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=882,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/04ad5f9720354e33f8400472dc7525c0,Kitsilano,"Platforms: We Are Here, Live is a series of temporary public art projects that presented from November 2021 until the end of October 2022.

Platforms: We Are Here, Live commissioned 23 Vancouver-based and xʷmə&theta;kʷəy̓əm (Musqueam), sḵwx̱w&uacute;7mesh (Squamish), and səlilwətaɬ (Tsleil-Waututh) artists engaged in and grappling with the issues revealed by the COVID-19 global pandemic.

Selected artworks were displayed on the following platforms:


\tBillboard at Arbutus St and West 12th Avenue
\tLight box at &scaron;xʷƛ̓ exən Xwtl&rsquo;a7shn Plaza 
\tBanners at Vancouver Public Library, Central Branch 
\tGlass wall at City Centre Canada Line Station 
\tTransit shelter posters throughout the city
\tVanLive! video screen, Robson St and Granville St
\tDigital display boards throughout the city",2022,"49.26117, -123.15252"
230,Fin,Site-integrated work,In place,3833 Fraser Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=898,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/8813007256ab1c5ad799122b987af80a,RileyPark,"Fin was commissioned by Strand Development as part of their participation in the City of Vancouver&#39;s Public Art Program for Private Development. 

This public artwork consists of an abstract wall-mounted sculpture of a fin with a blue eye. It is made of milled and mirror-polished stainless steel, with copper powdercoat.",2022,"49.250555, -123.090554"
231,Spindle Whorls,Sculpture,In place,,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=466,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/5bf67b1150dd992258e1a21161ae0971,RileyPark,Five spindle whorls cast in white concrete on stainless steel mounts. Spindle whorls are well known to Coast Salish carvers who made these disc shaped weights and long spindles for the spinning of wool.,2010,"49.244221, -123.106548"
232,"Signs, City Wall, City Path",Two-dimensional artwork,No longer in place,,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=479,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/25dc610ba61d43c61ce9179b0b45ea9e,DowntownEastside,"Signs, City Wall, City Path is a series of outdoor installations that humourously co-opts billboard marketing, tourist maps and other forms of official public signage.",2010,"49.280516, -123.1043"
234,Canoe,Media work,No longer in place,Hamilton and Georgia,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=495,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/c49a6f01df78ee860b6b3996dd441e19,Downtown,2-minute animation,2011,"49.280131, -123.1142"
236,Whispers,Mural,In place,,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=522,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/22758dc269b7d5a7fa7afbe1b4bb4c86,,"Typographic murals of written prose by local authors.  Murals were located at the following six sites: 553 Hamilton, 62 Powell, 304 Dunlevy, 195 E 26th Ave., Cambie St Bridge (South end), Granville Bridge (pillars by entrance to Granville Island). Some murals no longer in place.",2011,"49.281596, -123.112298"
237,Mind Crystal,Sculpture,In place,Georgia & Hamilton,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=528,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/139cf51dbe78a5c75fdd9e445fa8e06c,Downtown,"""Mind Crystal"" is part of a series of works based on hexagonal city planters found around Vancouver and the pattern of the human eye retina and crystal formations. It was commissioned by the Public Art Program through a selection process for artworks to celebrate the City's 125th anniversary. The forms are influenced by the shape and contingencies of the stone itself during the carving process, and was carved in China under the artist's supervision.",2012,"49.280003, -123.113895"
241,Ninth Column,Site-integrated work,In place,1618 Quebec Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=574,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/6681bbb1e8fbfaeaba8348ecdbd00266,Mount Pleasant,Ninth Column comprises a 97-foot high structural steel column clad in custom cast panels which bear an exact replica of mature Douglas-fir bark. This column is of equal scale as the other eight structural concrete columns supporting the overhead building.,2014,"49.271536, -123.101402"
242,Landscape: Possessing Numerous Peaks and Ripples,Sculpture,In place,1161 West Georgia Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=593,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/9e35d69265483fce980e7a34c23d856d,Downtown,"Huang Zhiyang’s artwork consists of twelve white marble sculptural forms fronting Georgia Street in downtown Vancouver. Eleven of these human scale 3-dimensional forms with textured undulating lines titled, Landscape: Possessing Numerous Peaks are scattered across the central plaza. A single 2- dimensional marble wall piece titled Ripple is situated on the East Plaza Wall in conversation with the ground-mounted works occupying the central plaza.",2016,"49.286844, -123.124153"
243,Confidence,Sculpture,In place,5251 Oak Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=609,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/7051c34e2e3564965856136e22c32f3b,Shaughnessy,,2012,"49.239068, -123.134604"
245,In Bloom: An Ode to Vancouver,Mural,In place,138 E 8TH Ave,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=632,,Mount Pleasant,,2016,"49.263449, -123.101885"
247,The Swimmer,Sculpture,In place,1050 Beach Avenue,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=2,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/922bdce5fdfe90a5e586feebda0551b1,West End,"An abstract form representing the motion of swimming, this bronze sculpture is mounted on two poles in front of the Aquatic Centre.",1977,"49.27699, -123.135029"
249,Two Steel and Copper Fountains,Fountain or water feature,No longer in place,1600 Beach Avenue,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=4,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/cf9396569998a4e661d0570cbaf23a4b,West End,Two copper ship-like abstract forms grace a pool of green water at this apartment dwelling.,1965,"49.28408, -123.142216"
251,Gerald Grattan McGeer,Figurative,In place,453 West 12th Avenue at Cambie,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=18,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/8eb74e3e3d9f738d648a1c5309774075,Mount Pleasant,This is a classic bronze bust of the former mayor of Vancouver in official regalia.,1948,"49.260687, -123.113718"
252,Untitled (Cenotaph),Memorial or monument,In place,Commercial Dr. & William Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=22,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/f0efb6dfbd9b47709889e73cdd34d9ac,Grandview-Woodland,,1959,"49.27352, -123.069796"
253,Hastings Mill Commemorative,Memorial or monument,In place,Dunlevy Street (north end),https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=29,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/be1205d8acfcb2e117c9bb0c178c16ab,Downtown,A commemorative sculpture based on three abstract tree trunk forms made of BC granite set in a circle in varying heights. There are relief carvings in the stone that recall the history of logging and milling.,1966,"49.286208, -123.094871"
254,Florentine Door & Wall #3,Sculpture,In place,Dunsmuir and Hamilton,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=39,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/1c2a549f8916a1faa256616754bc11de,Downtown,The work is a cast bronze block form with arched openings and extraneous forms attached.,1967,"49.280518, -123.112989"
255,B.C. Centennial Fountain,Fountain or water feature,No longer in place,750 Hornby Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=43,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/b7f9094e9088d3496f46cc49a2343ebb,Downtown,The fountain was commissioned by the BC Government in 1966 when the building was still a courthouse. The tile floor of the pool looks like water rippling and there are faces carved into the stone that rises in the middle of the pool.,1966,"49.282879, -123.120461"
256,Untitled (Pair of Lions),Sculpture,In place,750 Hornby Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=44,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/2149bb37b40c5dea06c93d1f53ba91c5,Downtown,"Two granite lions rest on either side of the stairs leading up to the old court house, now the Vancouver Art Gallery. They are modeled after those in Trafalgar Square in London.  Each weighs 15 tons.",1910,"49.283046, -123.120103"
257,The Fathomless Richness of the Seabed,Relief,In place,1055 West  Hastings Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=55,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/cbca64a28b3454e35ffb20311e737972,Downtown,The ceramic wall relief in blues and golds is meant to be an abstract reflection of the bottom of the sea.,1969,"49.287592, -123.118204"
258,Cenotaph,Memorial or monument,In place,Hastings & Cambie Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=61,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/47f6ebdb45ff48eb7c5920ba83850b52,Downtown,"This war memorial is a grey granite obelisk and is located at the foot of Victory Square. The three-sided monument was designed by Major G.L. Thornton Sharp to harmonize with the triangular shape of the park. The Cenotaph was unveiled by His Worship W. R. Owen, Mayor of Vancouver, on Sunday April 27, 1924. The ornamentations on the stone include one long sword, one laurel wreath, and one poppy wreath; both of the wreaths are entwined with maple leafs. A stone replica of the steel helmet used in the war of 1914-1918 adorns three corner abutments.",1924,"49.282475, -123.109894"
259,Untitled (Lions),Sculpture,In place,1155 West Pender Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=71,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/2ffc3958a78142a6d56ba6c4e449ace9,Downtown,,1969,"49.288052, -123.121784"
260,Continuity,Sculpture,In place,3975 Point Grey Rd.,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=75,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/b3f1cadd5b533cf799190115dbfbeced,West Point Grey,,1978,"49.271352, -123.1912"
261,Spring,Sculpture,In place,,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=78,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/e4f0795c22ee87d90deb3ab8996b1312,Downtown,A large red steel coil which appears to be a spring holding the upper level of Robson Square.,1981,"49.282095, -123.121989"
262,Anchor,Sculpture,In place,Spanish Banks,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=79,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/28099a74b14e4ab88a20a5699ff1f338,West Point Grey,Near the west end of the pedestrian path along Spanish Banks is a stylized anchor with one point digging into the earth.  It metaphorically marks the spot where Spanish explorer Don Jose Maria Narvaez dropped anchor in 1791. He was reportedly the first European to come into this harbour.,1986,"49.279179, -123.233646"
263,Search,Sculpture,In place,Denman & Georgia Street,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=80,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/99a88c2fdcc3dd711d4300cb9c347d53,Downtown,This figurative bronze sculpture is a finely detailed realistic depiction of a woman looking in her purse.,1975,"49.293036, -123.133879"
264,Killer Whale / Chief of the Undersea World,Sculpture,In place,Stanley Park,https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=81,https://opendata.vancouver.ca/api/explore/v2.1/catalog/datasets/public-art/files/07a32ff67ed56dc6b79adce010ab6ffb,Stanley Park,"The sculpture is set over a perfectly round 6.1 metre (20 feet) diameter reflecting pool. The placement pool was the gift of James and Isabelle Graham, Mary Margaret Young, and Joanne E. Barker.",1984,"49.300017, -123.130955"
